game_id,move_number,color,is_mine,move,eval_before,eval_after,is_mate_before,is_mate_after,cp_loss,best_move,phase,time_spent,time_left,session_game_no,opening,result
oOW508JM,1,white,True,e4,47,41,False,False,6,e4,opening,,,2,,1-0
oOW508JM,1,black,False,e5,41,42,False,False,1,c6,opening,,,2,,1-0
oOW508JM,2,white,True,Nf3,42,42,False,False,0,Nf3,opening,,,2,,1-0
oOW508JM,2,black,False,f5,42,147,False,False,105,Nc6,opening,,,2,,1-0
oOW508JM,3,white,True,Nxe5,147,160,False,False,0,Nxe5,opening,,,2,,1-0
oOW508JM,3,black,False,fxe4,160,260,False,False,100,Qf6,opening,,,2,,1-0
oOW508JM,4,white,True,d4,260,46,False,False,214,Qh5+,opening,,,2,,1-0
oOW508JM,4,black,False,Nf6,46,50,False,False,4,Nf6,opening,,,2,,1-0
oOW508JM,5,white,True,Bc4,50,44,False,False,6,Be2,opening,,,2,,1-0
oOW508JM,5,black,False,d5,44,45,False,False,1,d5,opening,,,2,,1-0
oOW508JM,6,white,True,Bb3,45,41,False,False,4,Bb3,opening,,,2,,1-0
oOW508JM,6,black,False,Nc6,41,62,False,False,21,Bb4+,opening,,,2,,1-0
oOW508JM,7,white,True,O-O,62,40,False,False,22,O-O,opening,,,2,,1-0
oOW508JM,7,black,False,Bd6,40,39,False,False,0,Bd6,opening,,,2,,1-0
oOW508JM,8,white,True,Nxc6,39,-147,False,False,186,Nc3,opening,,,2,,1-0
oOW508JM,8,black,False,bxc6,-147,-164,False,False,0,bxc6,opening,,,2,,1-0
oOW508JM,9,white,True,Nc3,-164,-185,False,False,21,f3,opening,,,2,,1-0
oOW508JM,9,black,False,O-O,-185,-195,False,False,0,O-O,opening,,,2,,1-0
oOW508JM,10,white,True,Bg5,-195,-212,False,False,17,Bg5,opening,,,2,,1-0
oOW508JM,10,black,False,Kh8,-212,-171,False,False,41,Kh8,opening,,,2,,1-0
oOW508JM,11,white,True,g3,-171,-283,False,False,112,Ba4,opening,,,2,,1-0
oOW508JM,11,black,False,Qe8,-283,-307,False,False,0,Ba6,opening,,,2,,1-0
oOW508JM,12,white,True,Bxf6,-307,-315,False,False,8,Bxf6,opening,,,2,,1-0
oOW508JM,12,black,False,Rxf6,-315,-313,False,False,2,Rxf6,opening,,,2,,1-0
oOW508JM,13,white,True,Bxd5,-313,-442,False,False,129,Ba4,middlegame,,,2,,1-0
oOW508JM,13,black,False,cxd5,-442,-448,False,False,0,cxd5,middlegame,,,2,,1-0
oOW508JM,14,white,True,Nxd5,-448,-448,False,False,0,Nxd5,middlegame,,,2,,1-0
